DATE,THREEFF2
1992-09-04,5.1345
1992-09-07,.
1992-09-08,5.0284
1992-09-09,5.0247
1992-09-10,5.0342
1992-09-11,5.0827
1992-09-14,5.0467
1992-09-15,5.1123
1992-09-16,5.1374
1992-09-17,5.1365
1992-09-18,5.1449
1992-09-21,5.1797
1992-09-22,5.2338
1992-09-23,5.2934
1992-09-24,5.2488
1992-09-25,5.1400
1992-09-28,5.0840
1992-09-29,5.0989
1992-09-30,5.1139
1992-10-01,4.9990
1992-10-02,5.0080
1992-10-05,4.9911
1992-10-06,5.0393
1992-10-07,5.2037
1992-10-08,5.1904
1992-10-09,5.2942
1992-10-12,.
1992-10-13,5.3190
1992-10-14,5.3394
1992-10-15,5.3496
1992-10-16,5.3954
1992-10-19,5.4969
1992-10-20,5.7030
1992-10-21,5.7045
1992-10-22,5.6689
1992-10-23,5.7676
1992-10-26,5.8166
1992-10-27,5.7670
1992-10-28,5.7555
1992-10-29,5.7372
1992-10-30,5.8285
1992-11-02,5.9209
1992-11-03,5.9168
1992-11-04,5.9198
1992-11-05,5.9055
1992-11-06,5.9785
1992-11-09,6.0440
1992-11-10,5.9994
1992-11-11,.
1992-11-12,5.8968
1992-11-13,5.9500
1992-11-16,6.0580
1992-11-17,6.0639
1992-11-18,5.9930
1992-11-19,5.9956
1992-11-20,6.0477
1992-11-23,6.0817
1992-11-24,6.0375
1992-11-25,6.0732
1992-11-26,.
1992-11-27,6.1727
1992-11-30,6.2096
1992-12-01,6.2266
1992-12-02,6.2279
1992-12-03,6.2069
1992-12-04,6.1205
1992-12-07,6.0435
1992-12-08,5.9765
1992-12-09,5.9740
1992-12-10,6.0018
1992-12-11,6.0545
1992-12-14,6.1217
1992-12-15,6.1149
1992-12-16,6.0589
1992-12-17,.
1992-12-18,.
1992-12-21,6.0154
1992-12-22,5.9560
1992-12-23,5.9560
1992-12-24,5.9536
1992-12-25,.
1992-12-28,5.9839
1992-12-29,5.9660
1992-12-30,5.9150
1992-12-31,.
1993-01-01,.
1993-01-04,5.8534
1993-01-05,5.8396
1993-01-06,5.8623
1993-01-07,5.9760
1993-01-08,5.9319
1993-01-11,5.8807
1993-01-12,5.8801
1993-01-13,5.8503
1993-01-14,5.8050
1993-01-15,5.7255
1993-01-18,.
1993-01-19,5.7221
1993-01-20,.
1993-01-21,5.7152
1993-01-22,5.6639
1993-01-25,5.5957
1993-01-26,5.6172
1993-01-27,5.5859
1993-01-28,5.5240
1993-01-29,5.4868
1993-02-01,5.4616
1993-02-02,5.5123
1993-02-03,5.5243
1993-02-04,5.4597
1993-02-05,5.3537
1993-02-08,5.3805
1993-02-09,5.4365
1993-02-10,5.5147
1993-02-11,5.4795
1993-02-12,5.4618
1993-02-15,.
1993-02-16,5.4200
1993-02-17,5.3334
1993-02-18,5.1874
1993-02-19,5.1624
1993-02-22,5.1218
1993-02-23,4.9795
1993-02-24,5.0232
1993-02-25,5.0485
1993-02-26,5.0435
1993-03-01,4.9696
